date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:47	24012/24012	---M--	200	added ('OK')	font/woff	etag:%226a32dbb6-5dcc%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/italic.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:47	44064/44064	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a32dbb6-ac20%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/italic.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:47	24084/24084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef9a-5e14%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:49	21140/21140	---M--	200	added ('OK')	font/woff2	etag:%226a32dbb6-5294%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:51	24084/24084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3aa862-5e14%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bolditalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:51	25244/25244	---M--	200	added ('OK')	font/woff	etag:%226a3bef9a-629c%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:52	44116/44116	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a303810-ac54%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:53	22854/22854	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb6-5946%22	http://cdn2.editmysite.com/fonts/Lora/regular.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/regular.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:51:54	19228/19228	---M--	200	added ('OK')	font/woff2	etag:%226a3bef99-4b1c%22	http://cdn2.editmysite.com/fonts/Lora/regular.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/regular.woff2	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:51:55	22854/22854	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef99-5946%22	http://cdn2.editmysite.com/fonts/Lora/regular.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:51:55	23516/23516	---M--	200	added ('OK')	font/woff	etag:%226a32dbb6-5bdc%22	http://cdn2.editmysite.com/fonts/Lora/regular.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/regular.woff	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:51:57	43168/43168	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a32dbb6-a8a0%22	http://cdn2.editmysite.com/fonts/Lora/regular.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/regular.ttf	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:51:58	23010/23010	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef99-59e2%22	http://cdn2.editmysite.com/fonts/Lora/bold.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/bold.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:51:58	19188/19188	---M--	200	added ('OK')	font/woff2	etag:%226a303810-4af4%22	http://cdn2.editmysite.com/fonts/Lora/bold.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/bold.woff2	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:51:59	23010/23010	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef99-59e2%22	http://cdn2.editmysite.com/fonts/Lora/bold.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:52:01	23608/23608	---M--	200	added ('OK')	font/woff	etag:%226a3bef99-5c38%22	http://cdn2.editmysite.com/fonts/Lora/bold.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/bold.woff	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:52:02	42952/42952	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3bef99-a7c8%22	http://cdn2.editmysite.com/fonts/Lora/bold.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/bold.ttf	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:52:03	24991/24991	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb6-619f%22	http://cdn2.editmysite.com/fonts/Lora/italic.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/italic.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
00:52:03	20908/20908	---M--	200	added ('OK')	font/woff2	etag:%226a3bef99-51ac%22	http://cdn2.editmysite.com/fonts/Lora/italic.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Lora/italic.woff2	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
